match_id,match_seq_num,radiant_win,start_time,duration,avg_mmr,num_mmr,lobby_type,game_mode,avg_rank_tier,num_rank_tier,cluster,radiant_team,dire_team,r_carry,r_disabler,r_durable,r_escape,r_initiator,r_jungler,r_nuker,r_pusher,r_support,d_carry,d_disabler,d_durable,d_escape,d_initiator,d_jungler,d_nuker,d_pusher,d_support
7406109102,6234327838,True,1698598459,1560,,,7,22,53,4,185,"[85, 36, 110, 81, 67]","[79, 11, 2, 18, 63]",3,4,4,2,2,0,3,1,2,4,3,2,1,3,0,3,0,1
7406109004,6234318725,True,1698598458,1176,3254.0,1.0,7,22,45,3,182,"[36, 25, 80, 27, 35]","[10, 71, 110, 126, 93]",4,3,2,0,1,0,4,2,2,4,5,2,5,2,0,4,0,1
7406108819,6234322721,True,1698598423,1309,2722.0,2.0,7,22,43,6,251,"[77, 53, 114, 101, 36]","[108, 44, 128, 68, 23]",4,3,2,3,1,0,3,2,1,2,4,2,3,1,0,4,0,4
7406108804,6234317197,True,1698598452,1158,,,7,22,41,4,184,"[63, 61, 99, 40, 84]","[34, 41, 30, 3, 97]",3,2,2,2,3,0,4,2,2,2,4,2,2,2,0,4,1,2
7406107413,6234333740,False,1698598402,1873,2827.0,2.0,7,22,45,6,153,"[11, 64, 79, 7, 44]","[96, 22, 70, 39, 88]",2,3,0,1,2,0,4,1,3,3,3,2,3,2,0,4,0,0
7406107310,6234331810,True,1698598399,1744,3614.0,3.0,7,22,53,6,154,"[35, 136, 30, 67, 88]","[84, 96, 97, 68, 54]",3,3,1,3,2,0,3,0,2,1,5,3,3,3,0,4,0,2
7406107108,6234329807,True,1698598383,1625,3619.0,5.0,7,22,61,6,273,"[74, 96, 64, 107, 44]","[5, 81, 97, 27, 23]",2,4,2,4,2,0,4,2,1,2,5,2,1,4,0,4,2,3
7406106907,6234329678,True,1698598383,1726,3422.0,1.0,7,22,54,8,181,"[137, 6, 83, 111, 2]","[68, 53, 12, 99, 62]",2,5,3,2,3,0,1,1,2,3,1,1,3,1,0,5,2,1
7406106706,6234324993,True,1698598368,1512,3173.0,2.0,7,22,63,6,251,"[62, 120, 138, 101, 14]","[10, 28, 68, 97, 74]",2,4,2,2,2,0,5,0,1,3,5,2,4,2,0,4,1,1
7406106600,6234331974,False,1698598374,1841,2082.0,1.0,7,22,51,5,181,"[25, 6, 14, 74, 104]","[129, 63, 98, 84, 111]",4,5,2,1,2,0,4,2,1,2,3,3,3,2,0,3,0,2
7406106506,6234333615,False,1698598367,1942,3810.0,2.0,0,22,63,5,227,"[23, 9, 87, 54, 96]","[43, 16, 27, 6, 101]",3,5,3,3,3,0,4,0,3,2,5,0,1,2,0,4,3,3
7406106501,6234326564,True,1698598363,1603,3741.0,3.0,7,3,43,7,225,"[99, 27, 39, 67, 101]","[4, 48, 108, 75, 22]",3,2,2,2,2,0,4,1,2,4,3,1,1,2,0,5,1,2
7406106209,6234334114,True,1698598357,1941,,,7,22,53,6,183,"[25, 81, 138, 30, 104]","[54, 36, 42, 85, 62]",4,5,2,0,2,0,4,1,2,3,4,4,2,1,0,3,0,2
7406106104,6234327122,True,1698598353,1596,3819.0,3.0,7,22,62,4,251,"[95, 86, 97, 10, 14]","[113, 44, 85, 104, 36]",2,5,3,2,2,0,4,1,1,4,3,3,2,1,0,4,0,1
7406105713,6234332469,False,1698598339,1885,3125.0,3.0,7,22,53,8,271,"[28, 5, 31, 97, 44]","[23, 85, 1, 104, 20]",2,3,1,3,2,0,3,0,2,3,4,3,2,3,0,5,0,3
7406105615,6234318954,True,1698598332,1292,2893.0,1.0,7,22,51,6,251,"[114, 119, 76, 9, 83]","[95, 97, 93, 19, 62]",3,5,1,4,2,0,3,0,3,3,4,2,3,2,0,4,2,0
7406105417,6234333906,True,1698598329,1962,3473.0,2.0,7,22,42,4,145,"[84, 34, 1, 23, 7]","[71, 74, 67, 87, 41]",3,3,2,1,3,0,5,1,3,4,4,3,4,3,0,2,1,1
7406105413,6234312279,True,1698598329,1052,3144.0,2.0,7,22,44,4,381,"[12, 26, 98, 7, 53]","[97, 11, 23, 77, 38]",2,2,1,3,2,0,5,2,2,3,3,3,2,3,0,4,1,1
7406105412,6234333114,False,1698598329,1922,2792.0,2.0,0,22,41,2,183,"[45, 114, 34, 74, 104]","[79, 1, 93, 42, 97]",4,3,1,2,2,0,4,3,0,3,4,1,3,3,0,4,0,2
7406105202,6234320214,True,1698598319,1377,4090.0,1.0,7,22,42,5,381,"[97, 100, 53, 86, 63]","[30, 104, 71, 67, 26]",2,3,0,3,2,0,4,1,1,3,4,3,2,3,0,3,0,2
7406105104,6234327787,False,1698598318,1694,2394.0,1.0,7,22,44,6,181,"[104, 137, 30, 93, 128]","[95, 83, 2, 76, 102]",2,5,2,2,2,0,4,0,2,4,4,4,1,2,0,1,1,2
7406105014,6234329948,False,1698598314,1792,1635.0,1.0,7,22,41,2,381,"[81, 126, 50, 93, 95]","[27, 6, 35, 19, 14]",4,5,2,2,1,0,3,2,1,3,4,2,0,3,0,4,3,1
7406105003,6234318971,True,1698598309,1334,3083.0,2.0,7,3,41,6,227,"[47, 129, 20, 101, 4]","[71, 29, 93, 15, 85]",3,5,2,1,4,0,3,0,2,4,4,4,2,2,0,4,1,1
7406105001,6234332344,True,1698598307,1922,2852.0,3.0,7,22,52,7,183,"[111, 42, 6, 28, 75]","[57, 74, 9, 138, 14]",4,5,2,2,3,0,2,1,3,3,4,2,2,1,0,5,1,2
7406104704,6234326411,True,1698598304,1686,,,0,22,54,4,152,"[37, 29, 76, 81, 88]","[36, 74, 40, 114, 83]",3,5,2,1,4,0,3,1,1,3,5,2,3,3,0,3,2,2
7406104603,6234328898,True,1698598298,1766,3749.0,4.0,7,22,63,7,151,"[74, 14, 29, 30, 8]","[97, 2, 46, 50, 86]",3,4,2,2,2,0,4,2,1,2,4,1,2,2,0,3,0,2
7406104516,6234333091,False,1698598297,1946,3990.0,2.0,7,22,41,2,153,"[86, 96, 25, 30, 67]","[138, 84, 23, 35, 53]",2,4,2,2,1,0,4,0,3,4,3,2,1,2,0,5,1,2
7406104512,6234326994,False,1698598293,1700,3892.0,1.0,0,22,44,6,153,"[71, 73, 74, 138, 62]","[119, 45, 63, 97, 96]",4,4,2,3,2,0,4,1,1,1,3,1,4,2,0,4,1,1
7406104418,6234330627,False,1698598293,1840,3414.0,2.0,0,22,62,4,151,"[74, 126, 50, 57, 1]","[18, 101, 20, 28, 135]",3,3,1,3,0,0,5,1,2,3,4,3,2,3,0,3,0,2
7406104312,6234323872,True,1698598287,1581,,,7,22,42,2,182,"[128, 53, 81, 80, 71]","[2, 31, 100, 120, 93]",4,3,3,3,2,0,2,3,1,3,4,2,2,3,0,4,0,1
7406104305,6234315055,False,1698598273,1181,4979.0,1.0,7,22,44,2,346,"[46, 104, 2, 1, 91]","[59, 23, 109, 64, 19]",4,2,2,3,2,0,3,0,1,4,3,3,0,3,0,4,3,2
